epoch,accuracy,loss,lr,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.3133426010608673,5.409955024719238,0.0005,0.38117700815200806,0.13865512609481812,0.38980263471603394,4.89608907699585,0.38980263471603394,0.38980263471603394
1,0.37217092514038086,4.214747905731201,0.0005,0.4876370131969452,0.15630361437797546,0.4437499940395355,3.6179373264312744,0.5803869366645813,0.2861842215061188
2,0.4064057469367981,3.3953843116760254,0.0005,0.5617977380752563,0.18383854627609253,0.47006580233573914,2.978743076324463,0.7857142686843872,0.12302631884813309
3,0.43843451142311096,2.9003713130950928,0.0005,0.6399999856948853,0.219625785946846,0.5611842274665833,2.4730093479156494,0.7785547971725464,0.32960525155067444
4,0.4636816680431366,2.6229681968688965,0.0005,0.6800703406333923,0.25288012623786926,0.4927631616592407,2.4798169136047363,0.8784370422363281,0.19967105984687805
5,0.49219706654548645,2.4171948432922363,0.0005,0.7042429447174072,0.2766565978527069,0.5302631855010986,2.2251577377319336,0.6856594085693359,0.3523026406764984
6,0.5149930715560913,2.2402896881103516,0.0005,0.7379860281944275,0.30239397287368774,0.5608552694320679,2.089708089828491,0.7611443996429443,0.37631580233573914
7,0.5436718463897705,2.125999927520752,0.0005,0.7369272112846375,0.33507639169692993,0.6055921316146851,1.9084256887435913,0.7924984693527222,0.4309210479259491
8,0.5623008608818054,2.030073642730713,0.0005,0.7412645816802979,0.3640003204345703,0.602302610874176,1.8974049091339111,0.7178340554237366,0.4753289520740509
9,0.5679385662078857,1.9671396017074585,0.0005,0.7421557307243347,0.3729879856109619,0.6575657725334167,1.7240506410598755,0.7876983880996704,0.5223684310913086
10,0.5791322588920593,1.8990778923034668,0.0005,0.7408875823020935,0.3969278633594513,0.6565789580345154,1.6776427030563354,0.7458563446998596,0.5773026347160339
11,0.5918784141540527,1.8671798706054688,0.0005,0.7430922985076904,0.41310563683509827,0.6138157844543457,1.760859489440918,0.7545362710952759,0.49243420362472534
12,0.5953100919723511,1.8384613990783691,0.0005,0.7415055632591248,0.4136775732040405,0.6134868264198303,1.7679730653762817,0.803523063659668,0.3901315927505493
13,0.6049513816833496,1.7925502061843872,0.0005,0.7484784126281738,0.43206143379211426,0.6532894968986511,1.6741929054260254,0.7628477215766907,0.5322368144989014
14,0.6073208451271057,1.7853537797927856,0.0005,0.7516797184944153,0.43876132369041443,0.6585526466369629,1.6312717199325562,0.7859342694282532,0.5036184191703796
15,0.6100988388061523,1.7899737358093262,0.0005,0.7501722574234009,0.44480758905410767,0.6200658082962036,1.730806589126587,0.7534611225128174,0.46546053886413574
16,0.6133670806884766,1.7616448402404785,0.0005,0.746074378490448,0.4542037844657898,0.6078947186470032,1.725746989250183,0.7031323313713074,0.49473685026168823
17,0.617615818977356,1.7597774267196655,0.0005,0.7517029643058777,0.4598414897918701,0.6878289580345154,1.5582528114318848,0.7545053958892822,0.6197368502616882
18,0.6217828392982483,1.7427916526794434,0.0005,0.7573205232620239,0.46278291940689087,0.6236842274665833,1.690629482269287,0.7011693120002747,0.5325657725334167
19,0.6225181818008423,1.738527536392212,0.0005,0.7589524388313293,0.4640901982784271,0.7115131616592407,1.4773753881454468,0.80887371301651,0.6236842274665833
20,0.630852222442627,1.712909460067749,0.0005,0.7555670142173767,0.47961434721946716,0.4503289461135864,2.2299530506134033,0.5821167826652527,0.3148026168346405
21,0.6242340207099915,1.7300634384155273,0.0005,0.757917046546936,0.46735844016075134,0.6013157963752747,1.7491323947906494,0.6816748976707458,0.4980263113975525
22,0.6355911493301392,1.7006337642669678,0.0005,0.7612853646278381,0.4877849519252777,0.5776315927505493,1.7900792360305786,0.6884396076202393,0.4368421137332916
23,0.6375520825386047,1.6990255117416382,0.0005,0.7581135630607605,0.48860201239585876,0.6881579160690308,1.5291531085968018,0.7952898740768433,0.5776315927505493
24,0.6368167400360107,1.70487642288208,0.0005,0.7572275996208191,0.49007272720336914,0.6154605150222778,1.7243213653564453,0.8297872543334961,0.410526305437088
25,0.6638614535331726,1.5259079933166504,0.00025,0.7745028138160706,0.5346025228500366,0.737500011920929,1.2548750638961792,0.8207899928092957,0.6493421196937561
26,0.66958087682724,1.4467172622680664,0.00025,0.7791934609413147,0.5446523427963257,0.6993421316146851,1.3366894721984863,0.7560015916824341,0.6319078803062439
27,0.6699076890945435,1.4409794807434082,0.00025,0.7774808406829834,0.5466949939727783,0.7391447424888611,1.2533152103424072,0.8376709222793579,0.6246710419654846
28,0.6741563677787781,1.4127830266952515,0.00025,0.7833313941955566,0.5506168603897095,0.7365131378173828,1.2350391149520874,0.8147695064544678,0.6569079160690308
29,0.6759539246559143,1.3987258672714233,0.00025,0.7781078815460205,0.5564180016517639,0.7240131497383118,1.2721848487854004,0.8040016293525696,0.647697389125824
30,0.6779148578643799,1.3917176723480225,0.00025,0.7786440849304199,0.5630362033843994,0.7513157725334167,1.1662479639053345,0.8363192081451416,0.6756578683853149
31,0.6860037446022034,1.377063512802124,0.00025,0.7823933362960815,0.5678568482398987,0.7236841917037964,1.266620397567749,0.777057945728302,0.6707236766815186
32,0.6828989386558533,1.3695344924926758,0.00025,0.7832506895065308,0.5677751302719116,0.7641447186470032,1.1517776250839233,0.8538525700569153,0.6707236766815186
33,0.6922951340675354,1.3518588542938232,0.00025,0.7870092391967773,0.5781518220901489,0.7608552575111389,1.1369023323059082,0.8247780799865723,0.7029605507850647
34,0.6832257509231567,1.368656873703003,0.00025,0.7866878509521484,0.5658959150314331,0.7503289580345154,1.1946218013763428,0.8458225727081299,0.6460526585578918
35,0.6911512613296509,1.3461673259735107,0.00025,0.7914912700653076,0.5837078094482422,0.776644766330719,1.1232962608337402,0.8264493942260742,0.7174342274665833
36,0.6919683218002319,1.355736494064331,0.00025,0.7916759252548218,0.581256628036499,0.7628289461135864,1.1591728925704956,0.8342052102088928,0.6819078922271729
37,0.6984230875968933,1.3297860622406006,0.00025,0.79227215051651,0.5880382657051086,0.7569078803062439,1.1427347660064697,0.8279221057891846,0.6710526347160339
38,0.6918866038322449,1.3247461318969727,0.00025,0.7933727502822876,0.5810115337371826,0.7253289222717285,1.2220126390457153,0.7768909335136414,0.6723684072494507
39,0.6907427310943604,1.3202539682388306,0.00025,0.7912540435791016,0.5810115337371826,0.777302622795105,1.1082954406738281,0.8544485569000244,0.6855263113975525
40,0.7017730474472046,1.3086990118026733,0.00025,0.7928173542022705,0.5934308171272278,0.7707237005233765,1.1335783004760742,0.8170323371887207,0.722697377204895
41,0.6993218660354614,1.313678503036499,0.00025,0.793452262878418,0.5960454344749451,0.7743421196937561,1.0870064496994019,0.8352534770965576,0.7154605388641357
42,0.6972792148590088,1.3146411180496216,0.00025,0.7877240777015686,0.5924503803253174,0.7552631497383118,1.1566851139068604,0.8194338083267212,0.7046052813529968
43,0.7029169201850891,1.308004379272461,0.00025,0.7937998175621033,0.5941662192344666,0.7680920958518982,1.0969492197036743,0.8664688467979431,0.6723684072494507
44,0.7013645172119141,1.302048683166504,0.00025,0.7917487621307373,0.5911430716514587,0.6980262994766235,1.3117684125900269,0.7547892928123474,0.6480262875556946
45,0.7166435122489929,1.2251485586166382,0.000125,0.8090500831604004,0.6179426312446594,0.7776315808296204,1.005133032798767,0.8345136046409607,0.7365131378173828
46,0.7212190628051758,1.1770368814468384,0.000125,0.8044226765632629,0.6301168203353882,0.7927631735801697,0.9857081174850464,0.8498475551605225,0.7335526347160339
47,0.7243238687515259,1.1530927419662476,0.000125,0.8050307631492615,0.6301985383033752,0.7819079160690308,0.9808171391487122,0.8229992985725403,0.7509868144989014
48,0.7276738286018372,1.137792706489563,0.000125,0.8102129697799683,0.6404117941856384,0.7671052813529968,0.9956487417221069,0.8167737126350403,0.7111842036247253
49,0.7284908890724182,1.1334052085876465,0.000125,0.8088129162788391,0.6418824791908264,0.7792763113975525,0.9821422100067139,0.835719645023346,0.7296052575111389
50,0.7364163994789124,1.1020058393478394,0.000125,0.8175204992294312,0.6519323587417603,0.7855263352394104,0.9740782976150513,0.8400149941444397,0.737500011920929
51,0.7294713854789734,1.1078437566757202,0.000125,0.8113168478012085,0.6443336606025696,0.7990131378173828,0.9310605525970459,0.8514115810394287,0.753947377204895
52,0.7315956950187683,1.113574504852295,0.000125,0.8089506030082703,0.6424544453620911,0.807894766330719,0.904621958732605,0.867451548576355,0.7513157725334167
53,0.7364980578422546,1.0983881950378418,0.000125,0.8137084245681763,0.6498897075653076,0.7993420958518982,0.9215770363807678,0.8572513461112976,0.7427631616592407
54,0.7340468764305115,1.0951147079467773,0.000125,0.8130354881286621,0.6512786746025085,0.8006578683853149,0.9179973602294922,0.8482834696769714,0.7559210658073425
55,0.7348639369010925,1.0918025970458984,0.000125,0.8156179785728455,0.6545469164848328,0.8072368502616882,0.9170647263526917,0.8482532501220703,0.7667763233184814
56,0.7431979775428772,1.0858324766159058,0.000125,0.8144027590751648,0.657896876335144,0.7911184430122375,0.9126388430595398,0.8495475053787231,0.7411184310913086
57,0.7373968362808228,1.0877972841262817,0.000125,0.8148336410522461,0.6543835401535034,0.785855233669281,0.9412379860877991,0.8273873925209045,0.7552631497383118
58,0.7480186223983765,1.0453041791915894,6.25e-05,0.8191105723381042,0.6681918501853943,0.8197368383407593,0.8424540758132935,0.8669384717941284,0.7694078683853149
